applicant_id,ktp_number,nama_lengkap,jenis_kelamin,tanggal_lahir,usia,status_pernikahan,jumlah_tanggungan,pendidikan_terakhir,jenis_pekerjaan,lama_bekerja_tahun,pendapatan_bulanan,kota,provinsi,no_telepon,hutang_bulanan_existing
APP00021,5133031601940854,Surya Wibowo,LAKI-LAKI,1992-04-10,34,Belum Menikah,1,D3,Swasta,12,IDR 6410000,Surabaya,Jawa Timur,081300330923,2150000
APP00022,3340041901799434,Teguh Utomo,Pria,1960-09-19,65,Belum Menikah,0,SMP,Profesional,10,8340000,Medan,Sumatera Utara,083131931491,0
APP00023,7359051403934426,Nanda Purba,L,1973-10-25,53,Menikah,3,SMA,TNI/Polri,26,4090000,Solo,Jawa Tengah,085869453147,1380000
APP00024,3634110910779107,  Galih Pulungan,laki-laki,1983-01-30,42,Belum Menikah,0,S2,Profesional,10,Rp26860000,Manado,Sulawesi Utara,083167837770,0
APP00025,1271111212894439,Kurniawan Gunawan,laki-laki,1963-08-19,63,Belum Menikah,0,SMP,TNI/Polri,35,Rp3150000,Yogyakarta,DI Yogyakarta,082251823374,0
APP00026,3517160401964659,Gita Suryadi,Wanita,1985-01-15,40,Menikah,2,SMA,BUMN,4,7100000,Bekasi,Jawa Barat,081247116719,470000
APP00027,3576141010990987,Dimas Permadi,Male,1998-07-26,28,Menikah,4,SD,Swasta,3,Rp4240000,Manado,Sulawesi Utara,082234123281,1370000
APP00028,3576071402943684,Adi Lubis,LAKI-LAKI,1986-02-03,39,Belum Menikah,1,S1,TNI/Polri,9,7260000,Denpasar,Bali,081302499471,870000
APP00029,7133010304969620,Della Sitorus,Female,1974-03-25,52,Cerai,3,S1,Swasta,2,6940000,Yogyakarta,DI Yogyakarta,087702787429,0
APP00030,6137132709627452,Yuli Napitupulu  ,PEREMPUAN,1983-11-25,42,Belum Menikah,0,SMA,Wiraswasta,5,7470000,Bandung,Jawa Barat,085780876038,0
APP00031,1263040111983921,Winda Tan,PEREMPUAN,1991-10-01,34,Menikah,2,D3,TNI/Polri,14,6810000,Balikpapan,Kalimantan Timur,087861317127,0
APP00032,1218030907818319,Ela Handoko,Perempuan,1974-09-07,51,Belum Menikah,1,S3,Wiraswasta,9,28140000,Depok,Jawa Barat,085199727875,6470000
APP00033,5106112408846326,Rini Tan,Female,1993-12-15,33,Belum Menikah,0,D3,Wiraswasta,6,6880000,Banjarmasin,Kalimantan Selatan,085802895171,0
APP00034,5111112811946227,Ani Tanoto,Female,1995-03-18,30,Cerai,2,S3,Wiraswasta,4,28460000,Semarang,Jawa Tengah,085880913431,0
APP00035,3468141911712786,  Gita Tan  ,P,1985-01-30,40,Cerai,2,SMP,Wiraswasta,1,2930000,Medan,Sumatera Utara,087737923747,530000
APP00036,5133152805726303,Bella Wijaya,Perempuan,1994-03-17,31,Cerai,2,S2,Swasta,5,IDR 15650000,Denpasar,Bali,087759440640,0
APP00037,1318042111625062,Faisal Lim,Laki-laki,1966-12-27,59,Menikah,4,S3,Swasta,12,18630000,Balikpapan,Kalimantan Timur,083121456232,5150000
APP00038,1451181202850229,Lia Simatupang,Perempuan,1986-12-13,39,Belum Menikah,0,SMA,BUMN,14,7610000,Depok,Jawa Barat,083849651370,2590000
APP00039,6115040809686368,Winda Gunawan,Female,1960-11-05,65,Belum Menikah,0,S3,TNI/Polri,7,24180000,Bandung,Jawa Barat,083186926179,1480000
APP00040,3259032204980350,  Utami Setiawan,PEREMPUAN,1990-01-07,36,Belum Menikah,0,D3,BUMN,11,IDR 5340000,Malang,Jawa Timur,082193183933,710000
APP00041,3117011204975305,  Jasmine Permadi,PEREMPUAN,1997-07-07,29,Menikah,0,SMA,PNS,2,Rp 3900000,Padang,Sumatera Barat,083168117758,0
APP00042,1452142202917268,Sigit Simatupang  ,Laki-laki,1963-06-18,63,Cerai,0,SD,Profesional,1,4640000,Tangerang,Banten,082112499856,0
APP00043,3453112708856816,Wulan Simatupang,PEREMPUAN,1998-11-02,28,Cerai,1,SD,Wiraswasta,8,4600000,Padang,Sumatera Barat,083845271111,0
APP00044,1355021010795762,Gita Lim  ,P,1968-07-29,58,Menikah,3,S1,BUMN,7,IDR 12650000,Malang,Jawa Timur,083873158514,3160000
APP00045,3544120103699279,Rizki Simanjuntak,Laki-laki,1969-01-27,56,Cerai,0,S2,Profesional,17,Rp. 29590000,Padang,Sumatera Barat,083801836675,7720000
APP00046,3557141610886786,Oki Sitorus,L,2001-06-09,24,Menikah,0,S1,Profesional,4,Rp12570000,Bogor,Jawa Barat,085714978403,0
APP00047,5123051309748197,Vina Hidayat,Female,1996-09-18,29,Menikah,0,SMA,BUMN,1,4890000,Jakarta,DKI Jakarta,081360607159,0
APP00048,3612142802757139,Sri Sinaga,P,2003-11-29,22,Belum Menikah,1,SD,Swasta,2,Rp 2440000,Solo,Jawa Tengah,085153521818,0
APP00049,1310062511917602,Iwan Hutapea,L,1995-08-30,30,Cerai,1,S3,TNI/Polri,4,13900000,Malang,Jawa Timur,087795527177,1330000
APP00050,3212202009847582,Utami Tarigan,Female,1986-04-18,40,Menikah,2,S1,Swasta,1,10530000,Surabaya,Jawa Timur,085893597820,0
APP00051,3347121007865544,Gita Manurung,Perempuan,2002-09-11,23,Menikah,4,S2,Profesional,3,31930000,Bandung,Jawa Barat,083851518644,0
APP00052,3240181311812094,Muhamad Kusuma,Male,1986-11-03,40,Belum Menikah,0,SMP,TNI/Polri,12,4180000,Manado,Sulawesi Utara,087816850542,0
APP00053,1468022206992148,Muhamad Ong,laki-laki,1995-03-21,30,Menikah,4,SMP,BUMN,1,Rp. 3690000,Balikpapan,Kalimantan Timur,083192706537,0
APP00054,7157152505848240,Intan Lim,perempuan,1986-04-26,40,Menikah,2,S1,BUMN,6,16270000,Denpasar,Bali,087724075818,0
APP00055,3154021309833863,Kurniawan Kusuma,Laki-laki,1996-03-23,30,Cerai,3,D3,Swasta,3,4850000,Makassar,Sulawesi Selatan,081251522047,0
APP00056,1278171402783894,Galih Handoko,Laki-laki,1999-01-20,26,Menikah,1,S1,Wiraswasta,6,IDR 10210000,Balikpapan,Kalimantan Timur,083897117980,0
APP00057,3609171809929080,  Arya Permadi,Pria,1982-09-04,43,Cerai,0,SD,Wiraswasta,5,Rp 4320000,Bekasi,Jawa Barat,085754051531,0
APP00058,1318032308624808,Indah Setiawan,perempuan,1994-12-03,32,Cerai,3,SMA,Profesional,11,8720000,Malang,Jawa Timur,085248687403,0
APP00059,5144061612916019,Diana Ong,P,1998-01-12,28,Belum Menikah,1,SMA,TNI/Polri,6,4490000,Surabaya,Jawa Timur,081361692845,0
APP00060,3679140911631230,Bambang Siahaan,Pria,1977-06-20,48,Cerai,3,D3,Swasta,11,8830000,Bekasi,Jawa Barat,083120297021,2750000
APP00061,7118171207804567,Iwan Lesmana,Laki-laki,2003-09-12,23,Cerai,2,D3,Swasta,3,Rp 5260000,Malang,Jawa Timur,082178681447,1470000
APP00062,1341122302958883,Gilang Panjaitan,LAKI-LAKI,2001-04-07,25,Menikah,3,SD,BUMN,5,2670000,Balikpapan,Kalimantan Timur,083125831323,0
APP00063,1262171407961209, Ayu Simbolon ,PEREMPUAN,1969-05-13,56,Belum Menikah,0,SMA,Profesional,5,9890000,Banjarmasin,Kalimantan Selatan,085878528922,3460000
APP00064,3511090711954497, Ela Hidayat ,PEREMPUAN,1994-06-15,31,Belum Menikah,0,SMP,Profesional,11,5700000,Medan,Sumatera Utara,081382992299,1890000
APP00065,7370102105904013,Sri Setiawan,Female,1968-09-28,57,Cerai,0,SD,PNS,26,3540000,Jakarta,DKI Jakarta,085810276773,0
APP00066,3558080502634755,Vina Permadi,P,1983-02-13,43,Cerai,0,SMA,TNI/Polri,11,3210000,Bogor,Jawa Barat,082159532787,610000
APP00067,1461101801667061, Yuni Napitupulu ,PEREMPUAN,1975-09-04,50,Cerai,0,D3,PNS,11,5150000,Jakarta,DKI Jakarta,085750609835,1020000
APP00068,5148111806693262,Eka Tampubolon,Wanita,1988-09-30,38,Cerai,1,S3,Wiraswasta,3,33890000,Pontianak,Kalimantan Barat,081202578729,0
APP00069,3561011206676825,Made Karo,Male,1986-08-31,40,Cerai,3,D3,BUMN,16,7060000,Bogor,Jawa Barat,083809749930,0
APP00070,3353071409997727,Lestari Pardede,Female,1989-02-02,36,Cerai,1,SMP,Wiraswasta,3,5190000,Padang,Sumatera Barat,083128385786,750000
APP00071,6339081005738012,Maya Pulungan,PEREMPUAN,1962-11-29,64,Belum Menikah,1,S1,Swasta,16,12390000,Banjarmasin,Kalimantan Selatan,083144198665,1540000
APP00072,6335050410973921,Kurniawan Setiawan,Male,1977-11-02,49,Belum Menikah,0,SD,TNI/Polri,15,2330000,Bekasi,Jawa Barat,082230165712,490000
APP00073,1312190809622869,Bagus Hartono,laki-laki,1963-07-24,62,Belum Menikah,0,D3,TNI/Polri,18,8000000,Solo,Jawa Tengah,081267240049,540000
APP00074,3359092303605524,Muhamad Panjaitan,L,1973-05-18,52,Cerai,2,S1,TNI/Polri,29,12430000,Denpasar,Bali,082229668516,1040000
APP00075,3134122304631937,Eko Santoso,laki-laki,1989-01-27,37,Menikah,2,SMP,Swasta,8,3160000,Balikpapan,Kalimantan Timur,087841459332,840000
APP00076,7111171509831280,Kartini Pulungan,Perempuan,1970-04-28,56,Cerai,1,D3,Swasta,13,Rp 9280000,Padang,Sumatera Barat,087883982258,0
APP00077,7108181511790357,Hana Sulistyo,Perempuan,2000-06-06,26,Belum Menikah,1,S1,TNI/Polri,0,9040000,Palembang,Sumatera Selatan,087710651801,1580000
APP00078,5149032211942179,Citra Panjaitan,PEREMPUAN,1964-10-23,62,Menikah,3,S3,BUMN,23,Rp38020000,Solo,Jawa Tengah,087868230047,0
APP00079,5179010804641654,Nurul Tampubolon,Wanita,1995-10-10,30,Belum Menikah,0,D3,BUMN,1,5990000,Tangerang,Banten,083103067383,0
APP00080,7367081405770999,Dedi Simatupang,L,1968-11-22,57,Cerai,1,S3,BUMN,20,28840000,Bekasi,Jawa Barat,082168705685,2680000
APP00081,3172141409932197,Novi Permadi,PEREMPUAN,1974-09-04,51,Cerai,1,SMP,Wiraswasta,19,IDR 6370000,Bekasi,Jawa Barat,083817518304,0
APP00082,1443100104721923,Cantika Sembiring,Wanita,1993-08-24,33,Menikah,1,S3,PNS,8,26940000,Padang,Sumatera Barat,083193638546,0
APP00083,3641140210742391,  Nurul Lesmana,P,1973-05-24,53,Belum Menikah,0,SMA,Swasta,30,5340000,Malang,Jawa Timur,087764235369,0
APP00084,3370021701640795,Umar Simanjuntak,Pria,1964-05-17,62,Belum Menikah,0,S3,Swasta,22,Rp23900000,Bogor,Jawa Barat,083831203875,5110000
APP00085,6337011712872938,Gilang Purnama  ,Laki-laki,2003-01-07,22,Belum Menikah,0,S2,Wiraswasta,1,20050000,Padang,Sumatera Barat,082239845461,5350000
APP00086,7305031307849056,Ira Pulungan,Female,1986-12-02,40,Menikah,5,S2,BUMN,2,Rp 23200000,Manado,Sulawesi Utara,082117659180,0
APP00087,3341010710696526,Gunawan Raharjo,LAKI-LAKI,2001-12-01,25,Menikah,4,SMA,Wiraswasta,4,Rp. 8930000,Manado,Sulawesi Utara,082296856218,0
APP00088,3604092608913738,Dewi Saputra,Wanita,1984-09-11,42,Menikah,3,S3,BUMN,19,33390000,Solo,Jawa Tengah,083896194311,0
APP00089,3312061408959089,Kartini Tampubolon,Perempuan,1981-04-20,44,Belum Menikah,1,D3,TNI/Polri,9,Rp 4180000,Semarang,Jawa Tengah,085281995604,550000
APP00090,6119030607776900,Fatimah Ong,Perempuan,1969-06-17,57,Menikah,1,S1,TNI/Polri,24,6740000,Bandung,Jawa Barat,082279937124,950000
APP00091,1226161103855229,Rahmat Manurung,Male,1976-12-08,49,Belum Menikah,0,S3,Wiraswasta,26,27460000,Padang,Sumatera Barat,087735646519,6340000
APP00092,1409142208684962,Doni Purba,Male,2004-04-17,22,Cerai,3,S3,TNI/Polri,0,Rp. 29710000,Makassar,Sulawesi Selatan,085761797968,0
APP00093,3622200210855433,Nurul Setiawan,Wanita,1967-10-16,59,Cerai,1,S3,TNI/Polri,6,Rp29170000,Malang,Jawa Timur,081343888993,0
APP00094,3215051205817461,Endah Sinaga,P,1972-06-03,53,Cerai,3,S1,TNI/Polri,1,8200000,Denpasar,Bali,085817751401,1430000
APP00095,6130132103717081,Muhamad Lesmana,Male,1990-06-13,36,Menikah,2,S3,TNI/Polri,5,15250000,Medan,Sumatera Utara,082279660334,0
APP00096,7341201310859618,Candra Saputra  ,LAKI-LAKI,1993-04-13,33,Belum Menikah,1,SMA,BUMN,10,3960000,Banjarmasin,Kalimantan Selatan,087724991251,0
APP00097,7369061803914733, Lukman Nugroho ,LAKI-LAKI,1973-02-01,53,Menikah,4,S2,Swasta,8,15310000,Makassar,Sulawesi Selatan,087705072368,1620000
APP00098,6337062508968116,Novi Sulistyo,Perempuan,1973-06-21,52,Belum Menikah,0,S2,Wiraswasta,1,12340000,Balikpapan,Kalimantan Timur,085185807836,1630000
APP00099,3231072612975745,Ferry Lesmana,L,1976-09-26,49,Menikah,0,S3,Swasta,26,21450000,Tangerang,Banten,082192330958,0
APP00100,5108092811682175,Vina Purba,Female,1987-08-10,39,Belum Menikah,0,S2,Swasta,16,13120000,Makassar,Sulawesi Selatan,082267294667,3610000
APP00101,3675012812657512,Ilham Ong,Male,1988-12-12,38,Cerai,3,S1,Wiraswasta,11,17990000,Bandung,Jawa Barat,081386363745,0
APP00102,1459010403887480,  Bunga Simanjuntak,Wanita,1984-11-29,42,Belum Menikah,0,S1,BUMN,1,IDR 14770000,Manado,Sulawesi Utara,083124241541,0
APP00103,3128160303973706,Bella Lesmana,Wanita,1986-12-18,40,Cerai,0,D3,PNS,13,Rp 8420000,Makassar,Sulawesi Selatan,083151627136,0
APP00104,7122151212732481,Dian Saputra,L,1997-01-26,29,Belum Menikah,0,SMA,Swasta,2,6820000,Medan,Sumatera Utara,082211219656,1490000
APP00105,3527172009726419,Indah Siregar,Perempuan,1970-09-08,56,Menikah,5,SD,TNI/Polri,18,3230000,Depok,Jawa Barat,082276137918,980000
APP00106,1310011902604296,Oki Siahaan,Laki-laki,1979-01-10,47,Cerai,3,S3,Wiraswasta,5,30440000,Semarang,Jawa Tengah,085784866618,0
APP00107,7309102307750949,Joko Kusuma,Pria,1996-07-03,30,Menikah,5,S1,PNS,9,Rp8480000,Bekasi,Jawa Barat,087790421020,0
APP00108,3143140909644309,Umar Hutapea,L,1988-06-19,37,Cerai,0,S3,Profesional,8,35930000,Pontianak,Kalimantan Barat,085878507925,0
APP00109,3132021606842459,  Irfan Ong  ,Laki-laki,1997-08-22,28,Cerai,0,S2,Profesional,0,32720000,Medan,Sumatera Utara,083163536541,0
APP00110,3542031808606045,Hana Simatupang,P,2003-02-15,23,Cerai,2,SMP,BUMN,3,2790000,Surabaya,Jawa Timur,083193759738,0
APP00111,1440040709756879,Dimas Wijaya,Laki-laki,1983-10-14,43,Cerai,2,SMP,PNS,0,4870000,Solo,Jawa Tengah,082141038657,1200000
APP00112,3651111108773828,Doni Saputra  ,laki-laki,2001-08-29,25,Belum Menikah,0,S2,BUMN,3,Rp19070000,Pontianak,Kalimantan Barat,087712127756,2450000
APP00113,3312081207920803,Zainal Hutapea,LAKI-LAKI,1988-05-02,37,Belum Menikah,0,SMA,Wiraswasta,9,4160000,Palembang,Sumatera Selatan,082106788317,1280000
APP00114,7311191905640358,Dedi Nugroho,laki-laki,1996-07-21,29,Menikah,5,S3,PNS,5,28910000,Jakarta,DKI Jakarta,085821510702,0
APP00115,3179202004788174,Firda Sinaga,P,1977-06-26,48,Cerai,2,D3,PNS,5,5990000,Balikpapan,Kalimantan Timur,081346263838,1890000
APP00116,3404090208935857,Pandu Handoko,laki-laki,1983-08-03,43,Belum Menikah,0,S1,Wiraswasta,12,13030000,Malang,Jawa Timur,081333480396,1900000
APP00117,7119190708945064,  Maya Wibowo  ,Perempuan,1961-01-02,65,Cerai,2,SMA,Profesional,1,Rp12280000,Tangerang,Banten,082293087059,0
APP00118,1447031212859602,Dedi Manurung  ,LAKI-LAKI,1996-08-23,30,Menikah,0,SD,Swasta,2,4060000,Makassar,Sulawesi Selatan,082167528953,0
APP00119,1379082110668130, Pandu Sitorus ,Male,2005-12-19,21,Cerai,0,SMP,BUMN,1,Rp 6280000,Bekasi,Jawa Barat,085252157043,910000
APP00120,6149121807667856,Satria Pratama,L,2004-02-19,21,Menikah,1,S3,Swasta,1,22270000,Malang,Jawa Timur,083832710405,0
APP00121,7162011411709951,Gita Pratama,perempuan,2001-07-14,25,Menikah,2,D3,BUMN,0,Rp 11460000,Bogor,Jawa Barat,085233688444,0
APP00122,7162070401732799,Budi Hidayat,Laki-laki,1995-02-25,30,Belum Menikah,0,S1,Profesional,6,15800000,Yogyakarta,DI Yogyakarta,081346774186,3930000
APP00123,3313032206946783,Oki Tampubolon,L,1989-03-26,37,Menikah,2,D3,BUMN,7,IDR 8000000,Malang,Jawa Timur,081268687937,0
APP00124,6123060704680700,Fitri Sinaga,Female,1969-11-24,57,Cerai,0,S1,Profesional,9,25650000,Surabaya,Jawa Timur,083829451168,0
APP00125,3373191902669220,Rini Siahaan,PEREMPUAN,1961-09-30,65,Menikah,0,D3,Profesional,26,13330000,Depok,Jawa Barat,085264679970,0
APP00126,3548011105794594,Joko Sinaga,Male,1961-02-15,65,Cerai,1,S1,Profesional,21,10690000,Semarang,Jawa Tengah,082224754691,2060000
APP00127,3368190103723289,Sigit Prabowo,laki-laki,1981-02-27,44,Cerai,0,D3,TNI/Polri,5,Rp 6620000,Solo,Jawa Tengah,081253457861,1340000
APP00128,3512100107632670,Hendra Simbolon,laki-laki,1975-08-24,51,Menikah,1,D3,Profesional,22,12930000,Balikpapan,Kalimantan Timur,083833468007,0
APP00129,1445150904894951,Yoga Wibowo,L,1966-11-09,59,Belum Menikah,1,SMP,PNS,17,4450000,Padang,Sumatera Barat,081308589944,0
APP00130,3177132206680418,Teguh Pratama,LAKI-LAKI,1987-09-25,38,Belum Menikah,0,S2,Swasta,9,18770000,Bogor,Jawa Barat,085766099353,5250000
APP00131,1372062206653642,Bella Hutapea,Female,1963-07-26,63,Menikah,3,S3,Swasta,6,17810000,Pontianak,Kalimantan Barat,085755494717,2270000
APP00132,5107050504816705,Ilham Tarigan,Pria,1993-05-27,33,Belum Menikah,1,SD,Profesional,10,Rp. 3740000,Manado,Sulawesi Utara,083121752500,0
APP00133,5162130101943268,Utami Prabowo,Perempuan,1973-04-01,52,Menikah,5,S3,Profesional,27,27290000,Makassar,Sulawesi Selatan,087830033542,0
APP00134,6344142203818032,Pandu Simatupang,laki-laki,2002-11-02,23,Menikah,5,SMP,Swasta,3,Rp. 5750000,Manado,Sulawesi Utara,085703323098,0
APP00135,3107041408842025,Cahyo Simbolon,Pria,1971-10-01,55,Belum Menikah,0,S2,Wiraswasta,3,11750000,Surabaya,Jawa Timur,082204618499,0
APP00136,1334170706864840, Reza Saputra ,L,1986-04-27,39,Menikah,1,S1,TNI/Polri,15,11880000,Pontianak,Kalimantan Barat,082275300119,0
APP00137,1423022805835124,Kartini Kusuma,Perempuan,1998-09-20,27,Cerai,2,S2,PNS,7,Rp16910000,Pontianak,Kalimantan Barat,081202255794,1100000
APP00138,7322040512632612,Oki Manurung  ,L,1975-10-06,50,Belum Menikah,1,D3,PNS,22,8910000,Makassar,Sulawesi Selatan,087772965902,0
APP00139,7129111709991561,Dina Nugroho,Female,1989-11-01,37,Menikah,5,SD,Wiraswasta,16,IDR 3400000,Solo,Jawa Tengah,085262890028,0
APP00140,5131031508967342,Dina Hartono  ,Wanita,1983-10-12,42,Menikah,4,SMA,Wiraswasta,7,3930000,Bandung,Jawa Barat,081370166088,0
APP00141,3459111810987752,Bambang Sembiring,LAKI-LAKI,1969-07-31,56,Cerai,2,SMA,TNI/Polri,29,5400000,Padang,Sumatera Barat,081313055488,360000
APP00142,3459072306666791,  Della Saputra,Female,1978-04-20,47,Menikah,1,D3,BUMN,6,6470000,Surabaya,Jawa Timur,087717798270,1980000
APP00143,3665131410754483,Bagus Daulay,LAKI-LAKI,1961-08-15,65,Menikah,0,S1,Wiraswasta,8,9270000,Manado,Sulawesi Utara,085822698485,2130000
APP00144,1242042506957871,Fajar Prabowo,Male,1983-11-20,43,Cerai,1,SMA,TNI/Polri,22,3210000,Padang,Sumatera Barat,083884608106,0
APP00145,3470021208669206,Andi Utomo,Male,1987-12-01,39,Menikah,5,SMA,BUMN,1,4680000,Surabaya,Jawa Timur,085738406665,0
APP00146,3438150611643064,Adi Lim,Male,1991-10-11,35,Belum Menikah,0,S1,BUMN,11,14160000,Depok,Jawa Barat,085706484229,0
APP00147,3563191806645208,Ani Manurung,perempuan,1995-11-27,30,Menikah,4,SMP,TNI/Polri,10,3870000,Denpasar,Bali,087826886153,0
APP00148,6131202004625259,Putra Manurung,Laki-laki,1966-06-28,60,Menikah,5,SMA,Swasta,35,5380000,Bogor,Jawa Barat,087840858877,1350000
APP00149,1328142702738811,Kurniawan Lesmana,Male,1998-06-21,27,Menikah,5,S1,Swasta,0,15570000,Palembang,Sumatera Selatan,083812075011,3910000
APP00150,3269012112991037,Eko Harahap,L,1989-02-21,37,Menikah,3,S1,PNS,12,Rp 9010000,Banjarmasin,Kalimantan Selatan,081358144914,1500000
APP00151,1348011809692020,  Fatimah Sinaga,P,1990-05-20,35,Cerai,1,SMP,Wiraswasta,9,5930000,Jakarta,DKI Jakarta,087881435368,1870000
APP00152,6360180305644108,Dwi Wibowo  ,Male,1992-04-27,33,Belum Menikah,0,S3,Profesional,12,29140000,Tangerang,Banten,085252314913,0
APP00153,3301110804874534,Dina Rambe,perempuan,1961-08-21,65,Belum Menikah,0,S2,Profesional,23,18740000,Bogor,Jawa Barat,085277754781,0
APP00154,6304191907973486,Yoga Sembiring,L,1970-07-21,55,Menikah,5,S3,Swasta,4,19590000,Bandung,Jawa Barat,087872563942,1090000
APP00155,3373192203905879,  Ela Simatupang,Wanita,2005-11-09,21,Cerai,1,SMA,Wiraswasta,0,IDR 5010000,Bandung,Jawa Barat,085153038567,0
APP00156,7110170907748461,Citra Setiawan,PEREMPUAN,1964-10-07,61,Cerai,1,S2,PNS,16,19420000,Bogor,Jawa Barat,085890827231,3180000
APP00157,6162071903860368,Putri Permadi,perempuan,1998-11-08,28,Cerai,0,SMA,BUMN,5,4580000,Makassar,Sulawesi Selatan,082128092024,0
APP00158,6162060807982339,Yanto Sinaga,laki-laki,1962-10-18,63,Menikah,3,S2,Profesional,13,37630000,Padang,Sumatera Barat,087842579913,0
APP00159,7105181702657902,Fatimah Santoso,P,1973-12-01,53,Cerai,0,SMP,PNS,9,3490000,Medan,Sumatera Utara,081268650863,1120000
APP00160,3411102009864224,  Jasmine Tampubolon  ,Female,1961-08-12,65,Cerai,2,S3,Profesional,8,26160000,Malang,Jawa Timur,081298180635,0
APP00161,7351071409957905,  Endah Saputra  ,P,1988-09-24,37,Cerai,2,S2,Wiraswasta,13,25590000,Semarang,Jawa Tengah,085149562137,0
APP00162,1312051610871445,  Budi Prabowo,laki-laki,1970-09-21,56,Belum Menikah,0,S3,Wiraswasta,3,34320000,Pontianak,Kalimantan Barat,087706698490,8260000
APP00163,7305120811602580,Ilham Napitupulu  ,LAKI-LAKI,1971-10-20,54,Cerai,1,SMP,PNS,32,2740000,Denpasar,Bali,085266938011,0
APP00164,3523141702951186,Firda Simanjuntak,PEREMPUAN,1991-09-13,35,Belum Menikah,1,SMA,Swasta,14,7740000,Manado,Sulawesi Utara,087848947697,0
APP00165,3430111406938777,  Galih Manurung,LAKI-LAKI,2004-05-08,22,Cerai,3,D3,TNI/Polri,0,IDR 4330000,Denpasar,Bali,081365182755,0
APP00166,3446052502671286,Candra Nasution,Male,1973-07-24,52,Menikah,2,S2,TNI/Polri,15,10930000,Makassar,Sulawesi Selatan,081280759579,1210000
APP00167,3165121311717491,Dina Wibowo,Female,1968-05-11,57,Menikah,3,D3,Swasta,27,4600000,Pontianak,Kalimantan Barat,085200369155,0
APP00168,3647130908719362, Maya Simanjuntak ,P,1965-12-18,60,Belum Menikah,1,SMA,BUMN,31,5290000,Depok,Jawa Barat,081343866322,1380000
